Name,LibraryName,Replicate,Line,Promoter,Sample,Treatment,Genotype,Tissue,Experiment
EP.G,G01S,G_S,EP-TR-7,EP,TRAP,CON,SL,ROOT,Atlas
EXO.G,G02S,G_S,EXO-TR-10-22,EXO,TRAP,CON,SL,ROOT,Atlas
COR.G,G03S,G_S,COR-TR-2,COR,TRAP,CON,SL,ROOT,Atlas
EN.G,G04S,G_S,EN-TR-3,EN,TRAP,CON,SL,ROOT,Atlas
X35S.H,H01,H,35S-TR-5,X35S,TRAP,CON,SL,ROOT,Atlas
MZ.H,H02,H,MZ-TR-8,MZ,TRAP,CON,SL,ROOT,Atlas
ACT.H,H09,H,ACT-TR-2,ACT,TRAP,CON,SL,ROOT,Atlas
PH.I,I02,I,PH-TR-3,PH,TRAP,CON,SL,ROOT,Atlas
XY.I,I03,I,XY-TR-1,XY,TRAP,CON,SL,ROOT,Atlas
MCO.I,I04,I,MCO-TR-4,MCO,TRAP,CON,SL,ROOT,Atlas
EP.J,J01,J,EP-TR-7,EP,TRAP,CON,SL,ROOT,Atlas
EXO.J,J02,J,EXO-TR-10-22,EXO,TRAP,CON,SL,ROOT,Atlas
X35S.J,J04,J,35S-TR-5,X35S,TRAP,CON,SL,ROOT,Atlas
MCO.K,K01,K,MCO-TR-4,MCO,TRAP,CON,SL,ROOT,Atlas
XY.K,K04,K,XY-TR-1,XY,TRAP,CON,SL,ROOT,Atlas
EN.L,L01,L,EN-TR-3,EN,TRAP,CON,SL,ROOT,Atlas
MZ.L,L03,L,MZ-TR-8,MZ,TRAP,CON,SL,ROOT,Atlas
ACT.L,L09,L,ACT-TR-2,ACT,TRAP,CON,SL,ROOT,Atlas
EXO.M,M01,M,EXO-TR-10-22,EXO,TRAP,CON,SL,ROOT,Atlas
MCO.M,M02,M,MCO-TR-4,MCO,TRAP,CON,SL,ROOT,Atlas
PH.M,M03,M,PH-TR-3,PH,TRAP,CON,SL,ROOT,Atlas
V.M,M04,M,V-TR-13,V,TRAP,CON,SL,ROOT,Atlas
EP.N,N01,N,EP-TR-7,EP,TRAP,CON,SL,ROOT,Atlas
XY.N,N02,N,XY-TR-1,XY,TRAP,CON,SL,ROOT,Atlas
EN.N,N03,N,EN-TR-3,EN,TRAP,CON,SL,ROOT,Atlas
ACT.N,N07,N,ACT-TR-2,ACT,TRAP,CON,SL,ROOT,Atlas
X35S.O,O01,O,35S-TR-5-2,X35S,TRAP,CON,SL,ROOT,Atlas
COR.O,O02,O,COR-TR-2,COR,TRAP,CON,SL,ROOT,Atlas
WOX.O,O03,O,WOX-TR-6,WOX,TRAP,CON,SL,ROOT,Atlas
MZ.O,O04,O,MZ-TR-8,MZ,TRAP,CON,SL,ROOT,Atlas
EXO.P,P01,P,EXO-TR-10-22-2,EXO,TRAP,CON,SL,ROOT,Atlas
WOX.P,P03,P,WOX-TR-6,WOX,TRAP,CON,SL,ROOT,Atlas
ACT.P,P07,P,ACT-TR-2,ACT,TRAP,CON,SL,ROOT,Atlas
PH.Q,Q01,Q,PH-TR-3,PH,TRAP,CON,SL,ROOT,Atlas
EP.Q,Q03,Q,EP-TR-7,EP,TRAP,CON,SL,ROOT,Atlas
X35S.Q,Q04,Q,35S-TR-5-2,X35S,TRAP,CON,SL,ROOT,Atlas
EN.R,R01,R,EN-TR-3,EN,TRAP,CON,SL,ROOT,Atlas
COR.R,R02,R,COR-TR-2,COR,TRAP,CON,SL,ROOT,Atlas
V.R,R03,R,V-TR-13,V,TRAP,CON,SL,ROOT,Atlas
MZ.R,R04,R,MZ-TR-8,MZ,TRAP,CON,SL,ROOT,Atlas
MCO.S,S01,S,MCO-TR-4-1,MCO,TRAP,CON,SL,ROOT,Atlas
WOX.Ta,T01,Ta,WOX-TR-6-2a,WOX,TRAP,CON,SL,ROOT,Atlas
WOX.Tb,T02,Tb,WOX-TR-6-2b,WOX,TRAP,CON,SL,ROOT,Atlas
V.Ta,T03,Ta,V-TR-13-4a,V,TRAP,CON,SL,ROOT,Atlas
V.Tb,T04,Tb,V-TR-13-4b,V,TRAP,CON,SL,ROOT,Atlas
COR.T,T05,T,COR-TR-2-4,COR,TRAP,CON,SL,ROOT,Atlas
PH.T,T06,T,PH-TR-3-1,PH,TRAP,CON,SL,ROOT,Atlas
MCO.T,T08,T,MCO-TR-4-1,MCO,TRAP,CON,SL,ROOT,Atlas
XY.TQ,TQ1,TQ,XY-TR-1,XY,TRAP,CON,SL,ROOT,Atlas